phase,method,dataset,N,d,centers,std,noise_frac,seed,backend,n_splits,splitA_pos,splitA_size,chunksize,knn_eff,fit_time,ext_time,total_time,n_obs,ari,ami,slurm_job_id,slurm_cpus_per_task,slurm_node_list,hostname
baseline,sdoclust_full,blobs,50000,10,5,1.0,0.0,42,na,-1,-1,-1,2000,-1,3.316751718521118,0.0,3.316751718521118,-1,1.0,1.0,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
baseline,kmeans_seq,blobs,50000,10,5,1.0,0.0,42,na,-1,-1,-1,2000,-1,0.12278509140014648,0.0,0.12278509140014648,-1,1.0,1.0,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
baseline,minibatch_seq,blobs,50000,10,5,1.0,0.0,42,na,-1,-1,-1,2000,-1,0.03231406211853027,0.0,0.03231406211853027,-1,1.0,1.0,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
baseline,minibatch_joblib,blobs,50000,10,5,1.0,0.0,42,na,-1,-1,-1,2000,-1,0.08525776863098145,0.0,0.08525776863098145,-1,0.7203868260100619,0.8655286660050125,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
baseline,minibatch_dask,blobs,50000,10,5,1.0,0.0,42,na,-1,-1,-1,2000,-1,0.11128592491149902,0.0,0.11128592491149902,-1,0.7203868260100619,0.8655286660050125,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
experiment,wrapper_sdoclust,blobs,50000,10,5,1.0,0.0,42,seq,2,0,25000,2000,5,0.42034387588500977,0.28539514541625977,0.7057390213012695,263,1.0,1.0,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
experiment,wrapper_sdoclust,blobs,50000,10,5,1.0,0.0,42,seq,4,0,12500,2000,5,0.19983291625976562,0.2527756690979004,0.452608585357666,259,1.0,1.0,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
experiment,wrapper_sdoclust,blobs,50000,10,5,1.0,0.0,42,seq,8,0,6250,2000,5,0.0970921516418457,0.26262879371643066,0.35972094535827637,255,1.0,1.0,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
experiment,wrapper_sdoclust,blobs,50000,10,5,1.0,0.0,42,seq,16,0,3125,2000,5,0.04373621940612793,0.22971367835998535,0.2734498977661133,243,1.0,1.0,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
experiment,wrapper_sdoclust,blobs,50000,10,5,1.0,0.0,42,joblib,2,0,25000,2000,5,0.40279078483581543,0.2795281410217285,0.682318925857544,263,1.0,1.0,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
experiment,wrapper_sdoclust,blobs,50000,10,5,1.0,0.0,42,joblib,4,0,12500,2000,5,0.19546890258789062,0.25368785858154297,0.4491567611694336,259,1.0,1.0,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
experiment,wrapper_sdoclust,blobs,50000,10,5,1.0,0.0,42,joblib,8,0,6250,2000,5,0.08714771270751953,0.2600736618041992,0.34722137451171875,255,1.0,1.0,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
experiment,wrapper_sdoclust,blobs,50000,10,5,1.0,0.0,42,joblib,16,0,3125,2000,5,0.044298410415649414,0.24901294708251953,0.29331135749816895,243,1.0,1.0,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
experiment,wrapper_sdoclust,blobs,50000,10,5,1.0,0.0,42,dask,2,0,25000,2000,5,0.40642666816711426,0.2869868278503418,0.693413496017456,263,1.0,1.0,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
experiment,wrapper_sdoclust,blobs,50000,10,5,1.0,0.0,42,dask,4,0,12500,2000,5,0.19266295433044434,0.26077866554260254,0.4534416198730469,259,1.0,1.0,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
experiment,wrapper_sdoclust,blobs,50000,10,5,1.0,0.0,42,dask,8,0,6250,2000,5,0.0881967544555664,0.29625797271728516,0.38445472717285156,255,1.0,1.0,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
experiment,wrapper_sdoclust,blobs,50000,10,5,1.0,0.0,42,dask,16,0,3125,2000,5,0.057431936264038086,0.253110408782959,0.31054234504699707,243,1.0,1.0,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
baseline,sdoclust_full,blobs,50000,10,5,2.0,0.0,42,na,-1,-1,-1,2000,-1,1.230269193649292,0.0,1.230269193649292,-1,0.9999000020000001,0.9997462143632678,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
baseline,kmeans_seq,blobs,50000,10,5,2.0,0.0,42,na,-1,-1,-1,2000,-1,0.028357744216918945,0.0,0.028357744216918945,-1,0.9994502085694134,0.9988499459813086,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
baseline,minibatch_seq,blobs,50000,10,5,2.0,0.0,42,na,-1,-1,-1,2000,-1,0.03007364273071289,0.0,0.03007364273071289,-1,0.9994002120735889,0.9987230537800077,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
baseline,minibatch_joblib,blobs,50000,10,5,2.0,0.0,42,na,-1,-1,-1,2000,-1,0.08498668670654297,0.0,0.08498668670654297,-1,0.7195597487365154,0.8650592694724638,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
baseline,minibatch_dask,blobs,50000,10,5,2.0,0.0,42,na,-1,-1,-1,2000,-1,0.09302878379821777,0.0,0.09302878379821777,-1,0.7195597487365154,0.8650592694724638,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
experiment,wrapper_sdoclust,blobs,50000,10,5,2.0,0.0,42,seq,2,0,25000,2000,5,0.4044990539550781,0.2738783359527588,0.6783773899078369,262,0.999949998499875,0.999873106560158,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
experiment,wrapper_sdoclust,blobs,50000,10,5,2.0,0.0,42,seq,4,0,12500,2000,5,0.21695709228515625,0.28965187072753906,0.5066089630126953,260,0.9998000090034004,0.9995333866827281,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
experiment,wrapper_sdoclust,blobs,50000,10,5,2.0,0.0,42,seq,8,0,6250,2000,5,0.08841300010681152,0.2619781494140625,0.350391149520874,255,0.9998999969999001,0.9997462131201583,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
experiment,wrapper_sdoclust,blobs,50000,10,5,2.0,0.0,42,seq,16,0,3125,2000,5,0.04355883598327637,0.2543914318084717,0.29795026779174805,240,0.9996000930223992,0.9991184671430389,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
experiment,wrapper_sdoclust,blobs,50000,10,5,2.0,0.0,42,joblib,2,0,25000,2000,5,0.40110182762145996,0.2745931148529053,0.6756949424743652,262,0.999949998499875,0.999873106560158,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
experiment,wrapper_sdoclust,blobs,50000,10,5,2.0,0.0,42,joblib,4,0,12500,2000,5,0.19311046600341797,0.2629506587982178,0.45606112480163574,260,0.9998000090034004,0.9995333866827281,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
experiment,wrapper_sdoclust,blobs,50000,10,5,2.0,0.0,42,joblib,8,0,6250,2000,5,0.08703160285949707,0.2639141082763672,0.35094571113586426,255,0.9998999969999001,0.9997462131201583,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
experiment,wrapper_sdoclust,blobs,50000,10,5,2.0,0.0,42,joblib,16,0,3125,2000,5,0.04484105110168457,0.2581601142883301,0.30300116539001465,240,0.9996000930223992,0.9991184671430389,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
experiment,wrapper_sdoclust,blobs,50000,10,5,2.0,0.0,42,dask,2,0,25000,2000,5,0.40561532974243164,0.27689671516418457,0.6825120449066162,262,0.999949998499875,0.999873106560158,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
experiment,wrapper_sdoclust,blobs,50000,10,5,2.0,0.0,42,dask,4,0,12500,2000,5,0.19472503662109375,0.268115758895874,0.4628407955169678,260,0.9998000090034004,0.9995333866827281,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
experiment,wrapper_sdoclust,blobs,50000,10,5,2.0,0.0,42,dask,8,0,6250,2000,5,0.08705496788024902,0.26560091972351074,0.35265588760375977,255,0.9998999969999001,0.9997462131201583,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
experiment,wrapper_sdoclust,blobs,50000,10,5,2.0,0.0,42,dask,16,0,3125,2000,5,0.043496131896972656,0.2633826732635498,0.30687880516052246,240,0.9996000930223992,0.9991184671430389,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
baseline,sdoclust_full,blobs,50000,50,5,1.0,0.0,42,na,-1,-1,-1,2000,-1,1.957911729812622,0.0,1.957911729812622,-1,1.0,1.0,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
baseline,kmeans_seq,blobs,50000,50,5,1.0,0.0,42,na,-1,-1,-1,2000,-1,0.0936429500579834,0.0,0.0936429500579834,-1,1.0,1.0,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
baseline,minibatch_seq,blobs,50000,50,5,1.0,0.0,42,na,-1,-1,-1,2000,-1,0.059514760971069336,0.0,0.059514760971069336,-1,1.0,1.0,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
baseline,minibatch_joblib,blobs,50000,50,5,1.0,0.0,42,na,-1,-1,-1,2000,-1,0.1376945972442627,0.0,0.1376945972442627,-1,1.0,1.0,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
baseline,minibatch_dask,blobs,50000,50,5,1.0,0.0,42,na,-1,-1,-1,2000,-1,0.14831185340881348,0.0,0.14831185340881348,-1,1.0,1.0,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
experiment,wrapper_sdoclust,blobs,50000,50,5,1.0,0.0,42,seq,2,0,25000,2000,5,0.6603877544403076,0.5254220962524414,1.185809850692749,263,1.0,1.0,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
experiment,wrapper_sdoclust,blobs,50000,50,5,1.0,0.0,42,seq,4,0,12500,2000,5,0.30650877952575684,0.5223567485809326,0.8288655281066895,261,1.0,1.0,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
experiment,wrapper_sdoclust,blobs,50000,50,5,1.0,0.0,42,seq,8,0,6250,2000,5,0.14289402961730957,0.5198326110839844,0.662726640701294,253,1.0,1.0,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
experiment,wrapper_sdoclust,blobs,50000,50,5,1.0,0.0,42,seq,16,0,3125,2000,5,0.07146859169006348,0.6287121772766113,0.7001807689666748,239,1.0,1.0,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
experiment,wrapper_sdoclust,blobs,50000,50,5,1.0,0.0,42,joblib,2,0,25000,2000,5,0.7548160552978516,0.5239934921264648,1.2788095474243164,263,1.0,1.0,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
experiment,wrapper_sdoclust,blobs,50000,50,5,1.0,0.0,42,joblib,4,0,12500,2000,5,0.31934404373168945,0.5225799083709717,0.8419239521026611,261,1.0,1.0,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
experiment,wrapper_sdoclust,blobs,50000,50,5,1.0,0.0,42,joblib,8,0,6250,2000,5,0.1432971954345703,0.5205519199371338,0.6638491153717041,253,1.0,1.0,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
experiment,wrapper_sdoclust,blobs,50000,50,5,1.0,0.0,42,joblib,16,0,3125,2000,5,0.07121396064758301,0.5092406272888184,0.5804545879364014,239,1.0,1.0,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
experiment,wrapper_sdoclust,blobs,50000,50,5,1.0,0.0,42,dask,2,0,25000,2000,5,0.6508374214172363,0.530663013458252,1.1815004348754883,263,1.0,1.0,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
experiment,wrapper_sdoclust,blobs,50000,50,5,1.0,0.0,42,dask,4,0,12500,2000,5,0.3094596862792969,0.5473005771636963,0.8567602634429932,261,1.0,1.0,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
experiment,wrapper_sdoclust,blobs,50000,50,5,1.0,0.0,42,dask,8,0,6250,2000,5,0.1432173252105713,0.5269911289215088,0.6702084541320801,253,1.0,1.0,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
experiment,wrapper_sdoclust,blobs,50000,50,5,1.0,0.0,42,dask,16,0,3125,2000,5,0.07044410705566406,0.5178487300872803,0.5882928371429443,239,1.0,1.0,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
baseline,sdoclust_full,blobs,50000,50,5,2.0,0.0,42,na,-1,-1,-1,2000,-1,24.142823696136475,0.0,24.142823696136475,-1,1.0,1.0,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
baseline,kmeans_seq,blobs,50000,50,5,2.0,0.0,42,na,-1,-1,-1,2000,-1,0.10802316665649414,0.0,0.10802316665649414,-1,1.0,1.0,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
baseline,minibatch_seq,blobs,50000,50,5,2.0,0.0,42,na,-1,-1,-1,2000,-1,0.057587623596191406,0.0,0.057587623596191406,-1,1.0,1.0,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
baseline,minibatch_joblib,blobs,50000,50,5,2.0,0.0,42,na,-1,-1,-1,2000,-1,0.14453911781311035,0.0,0.14453911781311035,-1,1.0,1.0,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
baseline,minibatch_dask,blobs,50000,50,5,2.0,0.0,42,na,-1,-1,-1,2000,-1,0.16725707054138184,0.0,0.16725707054138184,-1,1.0,1.0,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
experiment,wrapper_sdoclust,blobs,50000,50,5,2.0,0.0,42,seq,2,0,25000,2000,5,0.6636862754821777,0.5228841304779053,1.186570405960083,263,1.0,1.0,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
experiment,wrapper_sdoclust,blobs,50000,50,5,2.0,0.0,42,seq,4,0,12500,2000,5,0.30640673637390137,0.5299277305603027,0.8363344669342041,258,1.0,1.0,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
experiment,wrapper_sdoclust,blobs,50000,50,5,2.0,0.0,42,seq,8,0,6250,2000,5,0.14943981170654297,0.5117650032043457,0.6612048149108887,258,1.0,1.0,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
experiment,wrapper_sdoclust,blobs,50000,50,5,2.0,0.0,42,seq,16,0,3125,2000,5,0.07129192352294922,0.5029287338256836,0.5742206573486328,237,1.0,1.0,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
experiment,wrapper_sdoclust,blobs,50000,50,5,2.0,0.0,42,joblib,2,0,25000,2000,5,0.657362699508667,0.5236806869506836,1.1810433864593506,263,1.0,1.0,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
experiment,wrapper_sdoclust,blobs,50000,50,5,2.0,0.0,42,joblib,4,0,12500,2000,5,0.31244683265686035,0.5304698944091797,0.84291672706604,258,1.0,1.0,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
experiment,wrapper_sdoclust,blobs,50000,50,5,2.0,0.0,42,joblib,8,0,6250,2000,5,0.1421353816986084,0.5145838260650635,0.6567192077636719,258,1.0,1.0,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
experiment,wrapper_sdoclust,blobs,50000,50,5,2.0,0.0,42,joblib,16,0,3125,2000,5,0.07144665718078613,0.5046243667602539,0.57607102394104,237,1.0,1.0,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
experiment,wrapper_sdoclust,blobs,50000,50,5,2.0,0.0,42,dask,2,0,25000,2000,5,0.6554312705993652,0.5267477035522461,1.1821789741516113,263,1.0,1.0,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
experiment,wrapper_sdoclust,blobs,50000,50,5,2.0,0.0,42,dask,4,0,12500,2000,5,0.3260383605957031,0.5343978404998779,0.860436201095581,258,1.0,1.0,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
experiment,wrapper_sdoclust,blobs,50000,50,5,2.0,0.0,42,dask,8,0,6250,2000,5,0.1435692310333252,0.5204806327819824,0.6640498638153076,258,1.0,1.0,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
experiment,wrapper_sdoclust,blobs,50000,50,5,2.0,0.0,42,dask,16,0,3125,2000,5,0.0706944465637207,0.5113191604614258,0.5820136070251465,237,1.0,1.0,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
baseline,sdoclust_full,noisy_blobs,50000,10,5,1.0,0.05,42,na,-1,-1,-1,2000,-1,1.270517349243164,0.0,1.270517349243164,-1,0.9358062072326306,0.9209277220709455,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
baseline,kmeans_seq,noisy_blobs,50000,10,5,1.0,0.05,42,na,-1,-1,-1,2000,-1,0.05498862266540527,0.0,0.05498862266540527,-1,0.9357742750989047,0.9206297290350404,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
baseline,minibatch_seq,noisy_blobs,50000,10,5,1.0,0.05,42,na,-1,-1,-1,2000,-1,0.01913619041442871,0.0,0.01913619041442871,-1,0.6705479092690267,0.7966203735296974,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
baseline,minibatch_joblib,noisy_blobs,50000,10,5,1.0,0.05,42,na,-1,-1,-1,2000,-1,0.10599112510681152,0.0,0.10599112510681152,-1,0.7506122732521018,0.8576194543243137,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
baseline,minibatch_dask,noisy_blobs,50000,10,5,1.0,0.05,42,na,-1,-1,-1,2000,-1,0.13109350204467773,0.0,0.13109350204467773,-1,0.7506122732521018,0.8576194543243137,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
experiment,wrapper_sdoclust,noisy_blobs,50000,10,5,1.0,0.05,42,seq,2,0,26250,2000,5,0.4490389823913574,0.2792689800262451,0.7283079624176025,264,0.9357907184282682,0.9207714845164032,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
experiment,wrapper_sdoclust,noisy_blobs,50000,10,5,1.0,0.05,42,seq,4,0,13125,2000,5,0.21271371841430664,0.2828178405761719,0.4955315589904785,261,0.9357784133474685,0.9206607608271482,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
experiment,wrapper_sdoclust,noisy_blobs,50000,10,5,1.0,0.05,42,seq,8,0,6563,2000,5,0.09940481185913086,0.2455437183380127,0.34494853019714355,253,0.9357596620463539,0.9204771952523702,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
experiment,wrapper_sdoclust,noisy_blobs,50000,10,5,1.0,0.05,42,seq,16,0,3282,2000,5,0.04674363136291504,0.24110841751098633,0.28785204887390137,241,0.9357813344515644,0.9206669479504292,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
experiment,wrapper_sdoclust,noisy_blobs,50000,10,5,1.0,0.05,42,joblib,2,0,26250,2000,5,0.4234015941619873,0.279163122177124,0.7025647163391113,264,0.9357907184282682,0.9207714845164032,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
experiment,wrapper_sdoclust,noisy_blobs,50000,10,5,1.0,0.05,42,joblib,4,0,13125,2000,5,0.20775938034057617,0.28410768508911133,0.4918670654296875,261,0.9357784133474685,0.9206607608271482,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
experiment,wrapper_sdoclust,noisy_blobs,50000,10,5,1.0,0.05,42,joblib,8,0,6563,2000,5,0.09139418601989746,0.24750709533691406,0.3389012813568115,253,0.9357596620463539,0.9204771952523702,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
experiment,wrapper_sdoclust,noisy_blobs,50000,10,5,1.0,0.05,42,joblib,16,0,3282,2000,5,0.0462801456451416,0.2460346221923828,0.2923147678375244,241,0.9357813344515644,0.9206669479504292,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
experiment,wrapper_sdoclust,noisy_blobs,50000,10,5,1.0,0.05,42,dask,2,0,26250,2000,5,0.43301844596862793,0.2945256233215332,0.7275440692901611,264,0.9357907184282682,0.9207714845164032,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
experiment,wrapper_sdoclust,noisy_blobs,50000,10,5,1.0,0.05,42,dask,4,0,13125,2000,5,0.20563983917236328,0.2856624126434326,0.4913022518157959,261,0.9357784133474685,0.9206607608271482,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
experiment,wrapper_sdoclust,noisy_blobs,50000,10,5,1.0,0.05,42,dask,8,0,6563,2000,5,0.09121417999267578,0.25092577934265137,0.34213995933532715,253,0.9357596620463539,0.9204771952523702,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
experiment,wrapper_sdoclust,noisy_blobs,50000,10,5,1.0,0.05,42,dask,16,0,3282,2000,5,0.04611039161682129,0.25086212158203125,0.29697251319885254,241,0.9357813344515644,0.9206669479504292,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
baseline,sdoclust_full,noisy_blobs,50000,10,5,2.0,0.05,42,na,-1,-1,-1,2000,-1,1.1963284015655518,0.0,1.1963284015655518,-1,0.9355779281974503,0.9197237332042132,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
baseline,kmeans_seq,noisy_blobs,50000,10,5,2.0,0.05,42,na,-1,-1,-1,2000,-1,0.03228425979614258,0.0,0.03228425979614258,-1,0.9353878615688453,0.9193498738440862,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
baseline,minibatch_seq,noisy_blobs,50000,10,5,2.0,0.05,42,na,-1,-1,-1,2000,-1,0.034837961196899414,0.0,0.034837961196899414,-1,0.6728830203305379,0.7942195308676058,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
baseline,minibatch_joblib,noisy_blobs,50000,10,5,2.0,0.05,42,na,-1,-1,-1,2000,-1,0.10615777969360352,0.0,0.10615777969360352,-1,0.7428299190406916,0.8411460457860027,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
baseline,minibatch_dask,noisy_blobs,50000,10,5,2.0,0.05,42,na,-1,-1,-1,2000,-1,0.11864852905273438,0.0,0.11864852905273438,-1,0.7428299190406916,0.8411460457860027,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
experiment,wrapper_sdoclust,noisy_blobs,50000,10,5,2.0,0.05,42,seq,2,0,26250,2000,5,0.42560362815856934,0.28270792961120605,0.7083115577697754,264,0.9356673542090866,0.9198983003016594,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
experiment,wrapper_sdoclust,noisy_blobs,50000,10,5,2.0,0.05,42,seq,4,0,13125,2000,5,0.2067255973815918,0.28491902351379395,0.49164462089538574,263,0.9356620028076734,0.9198566927162646,7,1,compute-dy-compute-resource-1-1,compute-dy-compute-resource-1-1
